ssps,ownerName,ownerScreenId,venueTypes,locationType,country,state,dma,city,zip,adTypes,resolutions,durations,screenName,facing,link,address,avgDwellTime,avgImpressionMultiplier,avgWeeklyImpressions,avgCpm,restrictions,lat,lng,count
Place Exchange,Clear Channel Outdoor Brazil,RDJ08,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22061,"Image, Silent Video",400x600,10,,,,"Avenida Rainha Elizabeth, Em Frente Ao Nº 05",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9766,-43.1904,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO10,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22040,"Image, Silent Video",400x600,10,,,,"Rua Barata Ribeiro, Em Frente Ao Nr 354-e",,1.0,448219,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9679,-43.1847,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO37,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,21665,"Image, Silent Video",400x600,10,,,,Praia De Botafogo Em Frente Ao Nr 228 - Ed Argentina,,1.0,377138,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.942589,-43.181155,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO96,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22070,"Image, Silent Video",400x600,10,,,,Avenida Atlântica Esquina Com Rua Miguel Lemos,,1.0,574614,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9784,-43.189,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO35,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22471,"Image, Silent Video",400x600,10,,,,Avenida Epitácio Pessoa Em Frente Ao Parque Da Catacumba,,1.0,448563,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9736,-43.2017,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO14,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22471,"Image, Silent Video",400x600,10,,,,"Rua Fonte Da Saudade, Com Esquina De Dina Silveira",,1.0,318850,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.96178,-43.203144,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO65,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,Rua Conde De Bonfim Esquina Com Rua Uruguai,,1.0,574614,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9326,-43.241,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO47,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,Rua Sao Francisco Xavier Com Avenida Radial Oeste,,1.0,574614,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.904524,-43.242842,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO67,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,Avenida Presidente Castelo Branco (radial Oeste) Em Frente Ao Antigo Museu Do Indio,,1.0,574614,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9108,-43.2264,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO97,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22007,"Image, Silent Video",400x600,10,,,,Avenida Atlantica Esquina Com Rua Figueiredo Magalhães,,1.0,660882,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9719,-43.1847,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ04,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22470,"Image, Silent Video",400x600,10,,,,Largo Nelson Gonçalves Com Rua Teotônio Regadas,,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9730006,-43.2176611,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO48,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,"Rua Almirante Barroso, Lado Oposto Ao N. 52",,1.0,215512,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.907754,-43.175874,N/A
